,generated question,gold question
7443,What show did colton dixon appear on?,which contestant was sent home the following week ?
7444,Who accepted the proposal?,what former contestant did ace young ask to marry him ?
7445,Who accepted the proposal?,in what season was ace young a finalist on american idol ?
7446,Who accepted the proposal?,in what season did diana degarmo come in second on american idol ?
7447,Who beat sanchez for the winner?,who won this season of idol ?
7448,Who accepted the proposal?,which season was ace young on ?
7449,Who accepted the proposal?,which season was diana degarmo on ?
7450,What may be the reason for my post?,what is the first song that phillip phliips released after winning american idol ?
7451,What may be the reason for my post?,what is the name of the song that jessica sanchez released first after american idol ?
7452,What may be the reason for my post?,what was phillip 's coronation song ?
7453,What may be the reason for my post?,what song did sanchez release ?
7454,What may be the reason for my post?,which song is the best selling coronation song of all idol seasons ?
7455,What day didn't the show premiere?,what year did season 12 of american idol first air ?
7456,What show did steven tyler and jennifer lopez leave?,what was mariah careys position on season 12 of american idol ?
7457,What may be the reason for the feud between michael and nicki minaj?,what website showed video of an altercation between mariah carey and nicki minaj ?
7458,What day didn't the show premiere?,when did season 12 premiere ?
7459,What was said to be the advantage to this season?,how many judges did this season have ?
7460,What may be a fact about this situation?,how many girls were in the top 10 on season 12 of american idol ?
7461,What may be a fact about this situation?,who was the last guy to be sent home on season 12 of american idol ?
7462,What may be a fact about this situation?,how many contestants did this season have ?
7463,What may be a fact about this situation?,how many weeks in a row were male contestants eliminated ?
7464,What may be a fact about this situation?,who as the last man to be eliminated ?
7465,What may be a fact about this situation?,how many contestants were able to perform for two weeks without any eliminations ?
7466,Who won the first season of the show?,who was the winner of american idols twelfth season ?
7467,Who won the first season of the show?,which contestant came in second on season 12 of american idol ?
7468,What was said first in the above text?,what was the first song released by candice glover after winning american idol ?
7469,What was said first in the above text?,what song did kree harrison first release after being on american idol ?
7470,Who won the first season of the show?,who won this season of idol ?
7471,Who won the first season of the show?,who was the runner up ?
7472,What was said first in the above text?,what was glover 's first single ?
7473,What was said first in the above text?,what was harrison 's first single ?
7474,What may be a fact about this situation?,this is the first season when what did not happen to the first runner up ?
7475,What may be the reason for randy jackson to leave?,which long time judge decided to leave his position at the end of the season ?
7476,What will happen to randy jackson and mariah carey?,how many seasons was mariah carey a judge on american idol ?
7477,What may be the reason for randy jackson to leave?,who announced this would be his final year as a judge ?
7478,What will happen to randy jackson and mariah carey?,who were the other judges to leave after this season ?
7479,What day did the thirteenth season premiere?,what year did season 13 of american idol first air ?
7480,What day did the thirteenth season premiere?,who was the host of american idol in its thirteenth season ?
7481,Who changed from a judge for the show julu 2014,what new role did randy jackson assume during american idols thirteenth season ?
7482,Who directed the first episode of the show?,who directed the thirteenth season of american idol ?
7483,What day did the thirteenth season premiere?,when did season 13 premiere ?
7484,Who changed from a judge for the show julu 2014,who was the mentor this season ?
7485,Who else joined urban on panel for the show?,which former judge came back to the judges ' panel this season ?
7486,Who else joined urban on panel for the show?,which former mentor joined the judges ' panel this season ?
7487,Who else replaced lythgoe and warwick as executive producers,"per blankens , jesse ignjatovic , and evan pragger replaced which two executives ?"
7488,What may be a fact about this situation?,which contestant was saved by the judges after getting the least votes on season 13 of american idol ?
7489,What day of the week did the show last?,at what point in season 13 did american idol air its 500th show ?
7490,What may be a fact about this situation?,contestants could perform what in the final rounds for the first time ever ?
7491,What may be a fact about this situation?,who received the judges ' save this season ?
7492,What may be a fact about this situation?,when did the judges use their save on woolf ?
7493,What day of the week did the show last?,what episode was the 500th of the entire series ?
7494,Who was the runner-up to caleb johnson?,who won season 13 of american idol ?
7495,Who was the runner-up to caleb johnson?,who came in second on season 13 of american idol ?
7496,What was said first in the above text?,what song did caleb johnson first release after winning american idol ?
7497,What was said first in the above text?,what song did jena irene release after coming in second on american idol ?
7498,Who was the runner-up to caleb johnson?,who won this season of idol ?
7499,Who was the runner-up to caleb johnson?,who was the runner up this season ?
7500,What was said first in the above text?,what was johnson 's coronation song ?
7501,What was said first in the above text?,what was irene 's coronation song ?
7502,What day did the fourteenth season premiere?,what year did american idol first air its fourteenth season ?
7503,Who was in charge of having judges on american idol in 2015?,who was the host of american idol in its fourteenth season ?
7504,Who was in charge of making the show a success?,which former contestant replaced keith urban for auditions in new york city ?
7505,Who was in charge of having judges on american idol in 2015?,what was keith urbans position on american idol in its fourteenth season ?
7506,What show did randy jackson not return as?,who did not come back as a mentor in season 14 ?
7507,What day did the fourteenth season premiere?,when did season 14 premiere ?
7508,Who was in charge of making the show a success?,who took urban 's spot at the new york auditions ?
7509,What changed in the production of the show?,how many episodes did american idol have each week of the top ten ?
7510,What changed in sponsorship with Ford for the show?,what drink company ended their relationship with american idol in season 14 ?
7511,What changed in sponsorship with Ford for the show?,what car company had a relationship with american idol in season 14 ?
7512,What may be the probable reason for big machine records'role in winning?,what record label had a contract with the winner of american idols fourteenth season ?
7513,What changed in the production of the show?,"starting this season , how many episodes of idol aired every week ?"
7514,What changed in sponsorship with Ford for the show?,who ended their sponsorship this season ?
7515,What changed in sponsorship with Ford for the show?,what other company reduced their sponsorship this season ?
7516,What may be the probable reason for big machine records'role in winning?,"this season , the winner won a recording contract with what company ?"
7517,Who won the first season of the show?,who won american idols fourteenth season ?
7518,Who won the first season of the show?,who came in second on american idol in season 14 ?
7519,What was said to be the best single ever?,who came in third on american idol in season 14 ?
7520,What was said as his single for the contest?,what was the name of nick fradianis victory song ?
7521,What was said to be the best single ever?,what song did jax release after coming in third on american idol ?
7522,Who won the first season of the show?,who won this season of idol ?
7523,Who won the first season of the show?,who was the runner up of idol ?
7524,What was said as his single for the contest?,what was nick 's coronation song ?
7525,What was said as his single for the contest?,what was beckham 's first release ?
7526,What was said to be the best single ever?,which contestant came in third place ?
7527,What show is harry connick jujr.,what year did fox announce the cancellation of american idol ?
7528,What show is harry connick jujr.,how many seasons of american idol have there been ?
7529,What show is harry connick jujr.,how many seasons was jennifer lopez a judge on american idol ?
7530,Who will return for her fifth season on american idol?,what was keith urbans role on american idols fifteenth season ?
7531,Who will return for her fifth season on american idol?,who hosted american idol in its last season ?
7532,What show is harry connick jujr.,when did fox announce that season 15 would be the final season ?
7533,Who will return for her fifth season on american idol?,who is returning as host ?
7534,What show did the author discuss above?,"as of 2012 , how many finalists did american idol have ?"
7535,What show did the author discuss above?,when did american idol begin ?
7536,What show did the author discuss above?,what region of the united states were american idols first five winners from ?
7537,What show did clay pickler come to?,what state is american idol contestant clay aiken from ?
7538,What show did clay pickler come to?,what state is american idol contestant chris daughtry from ?
7539,What show did the author discuss above?,how many idol winners have come from the southern part of america ?
7540,What show did clay pickler come to?,"in addition to clay aiken and kellie pickler , which other idol is from north carolina ?"
7541,What show is popular in the south?,how many cds from american idol contestants had been sold at the beginning of 2010 ?
7542,What show is similar in popularity for the people in the southern u.s.?,"in the same study , how much more likely was someone from kentucky to tune into the show ?"
7543,What show is popular in the south?,how many cds were sold by idol contestants up to 2010 ?
7544,What show is popular in the south?,"of the cds sold , how many were by the contestants with southern ties ?"
7545,What may be the reason for the southern people having more versatility?,who won season five of american idol ?
7546,What may be the reason for the southern people having more versatility?,what state is taylor hicks from ?
7547,What may be a reason for text voting in the southern u.s.?,where do people in the southern united states often begin singing ?
7548,What may be a reason for text voting in the southern u.s.?,where do a lot of people get their start in singing in the south ?
7549,What may be the reason for the southern people having more versatility?,where is taylor hicks from ?
7550,What may be the reason for author Rushfield calling the white guy factor a  wgwg '' factor?,what does the acronym wgwg stand for ?
7551,What may be the reason for author Rushfield calling American Idol's relationship to the grandmas a contest?,who won season eleven of american idol ?
7552,What may be the reason for author Rushfield calling American Idol's relationship to the grandmas a contest?,what is the name of the book written by richard rushfield about american idol ?
7553,What may be the reason for author Rushfield calling the white guy factor a  wgwg '' factor?,how many seasons in a row were won by caucasian guitar playing males ?
7554,What may be the reason for author Rushfield calling the white guy factor a  wgwg '' factor?,what instrument did the winners for five seasons in a row play ?
7555,What may be the reason for author Rushfield calling the white guy factor a  wgwg '' factor?,what is the wgwg factor ?
7556,What may be the reason for author Rushfield calling American Idol's relationship to the grandmas a contest?,who wrote american idol : the untold story ?
7557,What may be the reason for author Rushfield calling American Idol's relationship to the grandmas a contest?,who was named the winner of season 11 ?
7558,What may be the reason for the criticism?,what company are contestants required to sign a contract with on american idol ?
7559,What may be a fact about this situation?,who won season two of american idol ?
7560,What may be a fact about this situation?,who came in second on season two of american idol ?
7561,What may be a fact about this situation?,what year did vote for the worst cease operations ?
7562,What may be a fact about this situation?,how many more text votes were there in season eight of american idol over season seven ?
7563,What may be a fact about this situation?,which season had the biggest voting controversy ?
7564,What may be a fact about this situation?,which season had a voting controversy because of a huge increase in text votes ?
7565,What may be a fact about this situation?,which voting concern has been present since the first season ?
7566,What may be a fact about this situation?,when did vote for the girls start ?
7567,What may be a fact about this situation?,when did vote for the worst close ?
7568,What event did idol gives back have in total?,what is the name of the special that raises money for charities on american idol ?
7569,What event did idol gives back have in narration?,how much money has american idol raised for charity with its idol gives back specials ?
7570,What event did idol gives back have in total?,what is the name of the charity that idol has ?
7571,What event did idol gives back have in total?,when was the first idol gives back ?
7572,What show did american idol become for 2002?,what year did american idol being to air on television ?
7573,What show did american idol begin?,how many people watched the first episode of american idol ?
7574,What may be a fact about this situation?,how many people on average watched the american idol finale in its first season ?
7575,What show did american idol become for 2002?,what season of the year did american idol first air on television ?
7576,What show did american idol become for 2002?,when did american idol premiere ?
7577,What show did american idol begin?,how many people watched the first episode of american idol ?
7578,What may be a fact about this situation?,what was the average for viewership by finale night ?
7579,What show did the author discuss above?,how many people watched the first episode of american idols second season ?
7580,What age group did the writer of this text think American Idol was in?,how many people on average tuned in to watch american idol in its second season ?
7581,What show did studdard win?,what contestant won the second season of american idol ?
7582,What show did the author discuss above?,during what season did american idol become the highest rated show across all demographics ?
7583,What show did the author discuss above?,which season of american idol was watched by the most people ?
7584,What show did the author discuss above?,how many people watched the second season premiere of american idol ?
7585,What age group did the writer of this text think American Idol was in?,how many people watched on average for season two ?
7586,What show did the author discuss above?,by what season was american idol the most watched show on tv ?
7587,What show did the author discuss above?,which season premier of american idol was the most watched ?
7588,What show did the author discuss above?,during which season to american idols rating begin to fall ?
7589,What show did the author discuss above?,what did other television networks refer to american idol as because of its ratings ?
7590,What show did the author discuss above?,which television network originally aired the cosby show ?
7591,What show did the author discuss above?,which season premiere was the most watched of all seasons ?
7592,What show did the author discuss above?,what was the show called by other networks ?
7593,What may be a fact about this situation?,season six saw what for the first time in viewership ?
7594,What show did the author discuss above?,season six was the first season where what had more viewers ?
7595,What may be a fact about this situation?,during which season of american idol did fox beat the other networks in ratings for the first time ?
7596,What may be the probable reason for the drop in ratings?,why were television ratings down across the board during american idols seventh season ?
7597,What may be a fact about this situation?,on what season was kristy lee cook a contestant on american idol ?
7598,What may be a fact about this situation?,who was eliminated during the lowest rated show since season one ?
7599,What may be a fact about this situation?,what was the series ' third most watched finale ?
7600,What show did kristy lee cook have?,"because of the rebound in viewers , fox became what for the first time ?"
7601,What may be the probable reason for the drop in ratings?,what happened in 2007-2008 that had a drop in viewers for all networks ?
7602,What show did nbc break a six-year streak of?,which television network aired the winter olympics in 2010 ?
7603,What show did nbc break the previous record of?,which television network originally aired all in the family ?
7604,What show did nbc break a six-year streak of?,in what year did nbc beat american idol in the ratings for the first time ?
7605,What show did nbc break a six-year streak of?,what finally beat idol in the ratings during season nine ?
7606,What show did nbc break a six-year streak of?,how many people watched the 2010 winter olympics on february 17 as compared to the 18.4 million who tuned into idol ?
7607,What show did nbc break a six-year streak of?,"at the end of season nine , american idol remained on top as the most watched show for how many years in a row ?"
7608,What may be a fact about this situation?,what was the average age of american idols viewers in its first season ?
7609,What may be a fact about this situation?,what was the average age of american idols viewers in its tenth season ?
7610,What may be a fact about this situation?,what is the median age of viewers this season ?
7611,What may be a fact about this situation?,what was the median age for viewers for season one ?
7612,What show did american idol lose for the first time in eight years?,for how many years was american idol the top rated show on television ?
7613,What show did american idol lose for the first time in eight years?,what program saw more viewers than american idol this season ?
7614,What show did american idol lose for the first time in eight years?,how long did fox reign in the 18-49 demographics in the nielsen ratings ?
7615,What percentage of the viewership for the show has dropped from the previous season?,how many people on average watched season 12 of american idol ?
7616,What percentage of the viewership for the show has dropped from the previous season?,during which season did american idol fall out of the top ten shows in ratings ?
7617,What may be the reason for the drop in the 18 -- 49 demographic in the thirteenth season?,when did american idol first air on television ?
7618,What percentage of the population didn't watch the show in '12?,the season finale for season 12 had how many fewer viewers than season 11 ?
7619,What percentage of the viewership for the show has dropped from the previous season?,how many viewers watched on average this season ?
7620,What changed in the production of the show?,what drink company ended its relationship with american idol during season 14 ?
7621,What show did the fourteenth season finale influence?,how many people watched american idols finale in season 14 ?
7622,What day did fox announce the breakup of American Idol?,after what season will american idol be cancelled ?
7623,What day did fox announce the breakup of American Idol?,when did fox announce the following season would be idol 's last ?
7624,What show did the fourteenth season finale influence?,how many people watched the season 14 finale ?
7625,What show did american idol became the most watched non-scripted primetime television series?,for how many years was american idol the highest rated reality show on television ?
7626,What show did fox become the number one network in?,for how many years was fox the highest rated network with young adults because of american idol ?
7627,What show did fox become the number one network in?,what television network originally aired the show glee ?
7628,What show did fox become the number one network in?,what television network originally aired the show house ?
7629,What may be a fact about this story?,who created american idol ?
7630,What show did dancing with the stars serve as a blueprint for?,what dancing show featuring celebrities has been helped by american idol ?
7631,What show did the author discuss above serve as a blueprint for non-singing tv shows?,what is another singing show similar to american idol ?
7632,What show did kelly clarkson appear in?,what show helped launched the career of kelly clarkson ?
7633,What show did kelly clarkson appear in?,what show helped launched the career of carrie underwood ?
7634,What show did kelly clarkson appear in?,what show helped launched the career of daughtry ?
7635,What may be the reason for the alumni'successes?,how many number one billboard singles were released by american idol contestants in the shows first decade ?
7636,What kind of industry does American Idol have a huge impact?,who is the president of mediabase ?
7637,Who won the first season of the show american idol?,who was the most successful american idol winner on radio as of 2010 ?
7638,What may be the reason for the alumni'successes?,how many number ones have idol singers achieved on billboard charts in just the first ten years ?
7639,Who created the most hits on the billboard charts?,who authored books on billboard charts ?
7640,Who won the first season of the show american idol?,how many contestants had at least one million radio spins by 2010 ?
7641,Who won the first season of the show american idol?,how many radio spins did kelly clarkson have by 2010 ?
7642,What kind of industry does american idol serve?,how many albums have been sold by american idol contestants up until 2013 ?
7643,What kind of industry does american idol serve?,how many single have been sold by american idol contestants up until 2013 ?
7644,What kind of industry does american idol serve?,how many albums have idol contestants created as of 2013 ?
7645,What kind of industry does american idol serve?,how many singles and digital downloads have idol contestants created as of 2013 ?
7646,Who was the first idol alumni for dreamgirls?,which american idol contestant won an oscar for dreamgirls ?
7647,Who was the first idol alumni for dreamgirls?,what job does debra byrd do on american idol ?
7648,What may be a fact about this situation?,in what area of the entertainment industry have some idol contestants found success ?
7649,Who was the first idol alumni for dreamgirls?,which idol won an academy award ?
7650,Who was the first idol alumni for dreamgirls?,what film did jennifer hudson win an academy award for ?
7651,Who was the first idol alumni for dreamgirls?,who recommended the role for hudon ?
7652,What show did ken tucker think was inconsequential?,what publication does ken tucker work for ?
7653,What show did lisa de moraes write about in response to the terrorists?,what did american idols first winner sing at the lincoln memorial in 2002 ?
7654,What show did ken tucker think was inconsequential?,which journalist felt idol produced entertaining tv more than entertaining music ?
7655,What show did ken tucker think was inconsequential?,which publication did tucker work for ?
7656,What show did karla peterson accuse American Idol of?,who called american idol a conniving multimedia monster ?
7657,What show did lisa de moraes write about in response to the terrorists?,where did the season one winner sing the national anthem that received huge criticism ?
7658,What show did michael agree with earlier in the text?,what publication does michael slezak write for ?
7659,Who else said similar things about the show?,who was accused of being mean and cruel on american idol ?
7660,Who was said to disparage the contestants?,what singer had bad things to say about contestants on american idol ?
7661,Who else said similar things about the show?,what magazine does ramin wetoodeh write for ?
7662,Who was said to think the show undermines the arts?,sheryl crow felt the show undermined art and promoted what ?
7663,What show did michael slezak write about in a positive way?,who said that american idol has reshaped the american songbook ?
7664,Who else said similar things about the show?,who was accused of helping meanness thrive ?
7665,Who was said to disparage the contestants?,which singer said the contestants are not real artists with self respect ?
7666,What show did elton john appear in?,what famous singer declined an offer to be a judge on american idol after having been a mentor ?
7667,What show did michael feinstein think was unmusical?,what year did carrie underwood win a country music award for best female artist ?
7668,What show did michael feinstein think was unmusical?,what singer criticized carrie underwood for winning a country music award ?
7669,What show did michael feinstein think was unmusical?,who felt that american idol helped the true art form of music get lost ?
7670,What show did michael feinstein think was unmusical?,who won the best female artist in country music awards in 2006 ?
7671,What show did michael feinstein think was unmusical?,who did carrie beat out for the award ?
7672,What show did michael feinstein think was unmusical?,who said that carrie had not paid her dues to win that award ?
7673,What show did elton john appear in?,who was a mentor but later turned down the opportunity to judge idol ?
7674,What genre of industry are they working in?,which music genre has had the most success from american idol ?
7675,What genre of industry are they working in?,which genre has felt the impact of idol the most ?
7676,What show did director bruce gower win for american idol?,how many nominations has american idol received for outstanding reality competition program ?
7677,What show did director bruce gower win for american idol?,what director win an emmy award for his work on american idol ?
7678,What show did director bruce gower win for american idol?,how many total emmy awards has american idol won ?
7679,What show did director bruce gower win for american idol?,what american idol special received a governors award in 2007 ?
7680,What show did american idol win for the emmy's outstanding reality competition program?,how many times was american idol nominated for an emmy ?
7681,What show did director bruce gower win for american idol?,what award did american idol win for its idol gives back charity work ?
7682,What kind of money does the author say american idol made in 2004?,how much money did american idol make in 2004 ?
7683,What show did the author discuss above?,how much money did american idol generate from its first eight seasons ?
7684,What show did american idol partner with to create the American Idol Experience?,what is the name of the american idol theme attraction with disney ?
7685,What kind of money does the author say american idol made in 2004?,how much money did american idol generate from ads in its seventh season ?
7686,What show did american idol partner with to create the American Idol Experience?,who did idol partner with to create the american idol experience ?
7687,What show did american idol became the most expensive for advertisers?,in which season did american idol become the costliest show for advertising on television ?
7688,What show did american idol became the most expensive for advertisers?,how much did advertisers spend for a 30 second ad spot on the american idol season four finale ?
7689,What percentage of ad dollars made by the show is referring to?,how much did advertisers spend for a 30 second ad spot during american idol in 2014 ?
7690,What was said to be the best part about the show?,how much did advertisers spend for a 30 second ad spot during american idol in its seventh season ?
7691,What show did american idol became the most expensive for advertisers?,by what season was idol the highest advertising cost of all shows ?
7692,What may be a fact about this situation?,how much did idol earn in ad revenue alone for season 8 ?
7693,What percentage of the sponsorship fee for the show has sold?,in which season did coca-cola become a sponsor of american idol ?
7694,What percentage of the sponsorship fee for the show has sold?,in which season did ford motor company become a sponsor of american idol ?
7695,What show did coca-cola sponsor?,which mobile carrier became a sponsor of american idol in its second season ?
7696,What show did coca-cola sponsor?,when did coca-cola stop being a sponsor of american idol ?
7697,What show did itunes sponsor the most part of?,in which season did itunes begin a partnership with american idol ?
7698,What percentage of the sponsorship fee for the show has sold?,how much did it cost each company for the first season ?
7699,What percentage of the sponsorship fee for the show has sold?,how much did it cost each company in season 7 ?
7700,What show did coca-cola sponsor?,who was the third largest sponsor ?
7701,What may be a fact about this story?,what service did at&t promote on american idol as a way of voting ?
7702,What show did the author discuss above?,how many product placements had idol shown by season six ?
7703,What may be the reason for pepsi's decline in a generation?,which major drink manufacturer decided at the beginning of american idol not to be a sponsor ?
7704,What may be the reason for pepsico sponsoring x factor?,what show did pepsico begin sponsoring in hopes of not missing another opportunity like american idol ?
7705,What may be the reason for pepsi's decline in a generation?,which soda company did not want to sponsor american idol ?
7706,What may be the reason for pepsico sponsoring x factor?,"in hopes of not repeating another mistake , which show did pepsico sponsor ?"
7707,What may be the reason for pepsi's dropping in third place?,"pepsico fell to what place by 2010 , which is in part credited with refusing to sponsor american idol ?"
7708,What was said to be the best tour?,which season of american idol had the highest profit on its tour ?
7709,What brand of candy was used for the season nine tour?,what company was a sponsor of the american idol tour in its ninth season ?
7710,What may be a fact about this situation?,who was added to the tour in season 12 ?
7711,What brand of candy company sponsored the show?,who sponsored the first seven tours ?
7712,What brand of candy was used for the season nine tour?,who sponsored the ninth tour ?
7713,What was said to be the best tour?,which was the most successful tour ?
7714,What changed in the seventh season of american idol?,when did itunes become a sponsor on american idol ?
7715,What kind of album are the recordings made of?,for how many seasons did american idol put out a compilation of hits at seasons end ?
7716,What changed in the seventh season of american idol?,what company has released studio recordings from american idol since season seven ?
7717,What kind of industry does american idol serve?,idol releases both the performances as well as what for sale ?
7718,What kind of album are the recordings made of?,how were the recordings released for the initial five seasons ?
7719,What kind of industry does american idol serve?,"because all five were in the top ten of billboard 's charts , this made idol what ?"
7720,What changed in the seventh season of american idol?,who joined idol as a sponsor in season seven ?
7721,What company is 19 recording label owned by?,what company has the right to all recordings from contestants on american idol ?
7722,What was the first recording label for 19 that were sold to bmg?,what company took over as american idols music label in 2010 ?
7723,What record label did 19 originally partner with?,what company had released music from american idol in addition to sony music entertainment ?
7724,What company is 19 recording label owned by?,who owns 19 recordings ?
7725,What company is 19 recording label owned by?,who owns the rights to all phonographic material done by the contestants ?
7726,What record label did 19 originally partner with?,who did 19 initially partner with to distribute the recordings ?
7727,What was the first recording label for 19 that the company is associated with?,who did bmg partner with in 2005-2007 ?
7728,What was the first recording label for 19 that were sold to bmg?,who replaced sony in 2010 as idol 's music label ?
7729,What day did the author discuss the american idol experience?,what company has a them park attraction known as the american idol experience ?
7730,What day did the author discuss the american idol experience?,in what year did the walt disney company open the american idol experience ?
7731,What day did the attraction close for the last time?,in what year did the walt disney company close the american idol experience ?
7732,What day did the production open for business?,what company had a partnership with the walt disney company for the american idol experience ?
7733,What day did the author discuss the american idol experience?,when did the american idol experience open ?
7734,What day did the author discuss the american idol experience?,where did it open ?
7735,What was said to be one of the winners in the finals show?,what did the winner win ?
7736,What day did the attraction close for the last time?,when did the experience close ?
7737,What country is american idol broadcast to?,how many different countries air american idol on television ?
7738,What network did ctv show american idol in simulcast with?,what network broadcasted american idol live in canada for thirteen seasons ?
7739,What show did yes tv pick up rights to in 2014?,in what year did ctv stop showing live broadcasts of american idol ?
7740,What show did yes tv pick up rights to in 2014?,what canadian network began airing american idol in 2015 ?
7741,What country is american idol broadcast to?,how many nations receive the idol broadcast ?
7742,What network did ctv show american idol in simulcast with?,who aired the first thirteen seasons in canada ?
7743,What show did yes tv pick up rights to in 2014?,who stated in august 2014 that they picked up the rights beginning in its 2015 season ?
7744,What network did tela for italy have a 12th season on?,what network in italy aired american idol in season twelve ?
7745,What channel did the episode air for one day in the united kingdom?,how many days does someone in the united kingdom have to wait to watch american idol after its original broadcast ?
7746,What day of the week does it air in the united kingdom?,what television network in asia shows american idol ?
7747,What day of the week does it air in the united kingdom?,on what days of the week does american idol air in the philippines ?
7748,What day of the week does it air in the united kingdom?,who broadcasts idol in southeast asia ?
7749,What network did tela for italy have a 12th season on?,who broadcast the 12th season in italy ?
7750,What may be a fact about this competition?,producers have been accused of planting what within the show ?
7751,What show did american idol became the highest rated show in u.s. overall?,how many consecutive years was american idol the top rated show ?
7752,What show did american idol became the highest rated show in u.s. overall?,how many consecutive years did either the performance or results show rank number one ?
7753,What kind of dog is canis familiaris?,what is the three word latin name for domesticated dogs ?
7754,What kind of dog is canis familiaris?,what is canis familiaris ?
7755,What kind of dog is canis familiaris?,how long has the domestic dog been selectively bred ?
7756,What kind of dog is canis familiaris?,"along with various behaviors and physical attributes , what were domestic dogs bred for ?"
7757,What animal did dogs appear as for the early part of their existence?,what decade had significant studies of dog genes to determine origins ?
7758,What animal did dogs appear as for the early part of their existence?,testing revealed today 's dogs trace back by how many years ?
7759,What animal did dogs appear as for the early part of their existence?,what is the region where domesticated dogs ancestry traces to ?
7760,What may be a fact about dogs?,what type of diet can modern domesticated dogs thrive eating that other dogs can not ?
7761,What animal did dogs appear as for the early part of their existence?,what was undertaken in 2010 to determine where dogs originated from ?
7762,What kind of dog does the author view as the way dogs have an impact on society?,"what is the most common phrase , or nickname , used by people in the united states to describe dogs in general ?"
7763,What kind of dog does the author view as the way dogs have an impact on society?,what moniker has been given to dogs in western cultures ?
7764,What may be a reason for eating dogs?,dogs are a source of what in some cultures ?
7765,What language may the term domestic dog derive from?,what is the proto-germanic word that `` dog '' may have come from ?
7766,What may be the probable reason for the term dog being used?,what may be the earliest vocabulary that the word `` dog '' came from ?
7767,What language did the word dog come from?,where does the word dog originate ?
7768,What may be the probable reason for the term dog being used?,dog could also come from the original layer of what vocabulary ?
7769,What was the first mention of the subtype dog in the text?,what was the common 14th-century word for dogs for those who spoke english ?
7770,What was the first mention of the subtype dog in the text?,what breed was so prolific it became a prototype of hound ?
7771,What changed in the 16th century?,in what century did `` hound '' start to only apply to hunting dogs ?
7772,What was the first mention of the subtype dog in the text?,what was the common term for all domesticated dogs in england during the 14th century ?
7773,What changed in the 16th century?,when did the word dog become the common term for canines ?
7774,What changed in the 16th century?,hound became the term for dogs who did what activity during this time ?
7775,What word is derived from the proto-indo-european word * kwon -  dog ''?,what proto-indo-european word is hound from ?
7776,What kind of offspring are they?,what are a single birth group of puppies of a dog called collectively ?
7777,What are the first names of the father and the dam of a litter?,what is the male who is father of the pups called ?
7778,What are the pups called for puppies?,what is the french word that `` puppy '' comes from ?
7779,What word is used in reference to the process of birth?,what is giving birth to dogs called ?
7780,What language do dogs and cats come from?,what is the english word for female dog that has also become profanity ?
7781,What language do dogs and cats come from?,a male canine is called a dog while a female canine is called a what in reference to breeding ?
7782,What kind of offspring are they?,what are canine offspring referred as ?
7783,What are the first names of the father and the dam of a litter?,what is the father of a litter referred as ?
7784,What are the first names of the father and the dam of a litter?,what is the mother of a litter referred as ?
7785,What are the pups called for puppies?,what are the individual litter canines called ?
7786,What was the first mention of canis familiaris in systema naturae?,what is the latin term for `` dog .? ''
7787,What was the first mention of canis familiaris in systema naturae?,what year are dogs first listed in systema naturae ?
7788,What was the first mention of canis familiaris in systema naturae?,who published systema naturae ?
7789,What animal did Linnaeus try to list in linnaeus'category lupus?,what is the modern single english word for canis lupus ?
7790,What animal was first classified as canis familiaris in 1983?,what 1982 publication listed regular family dogs under wolves ?
7791,What was the first mention of canis familiaris in systema naturae?,what is the latin word for dog ?
7792,What was said about the dog for canis familiaris?,"canis familiaris is the classification for dogs , and is known as what ?"
7793,What animal did Linnaeus try to list in linnaeus'category lupus?,what is the latin name for a wolf ?
7794,What was said to reduce the number of recognized canis species?,feral dogs have what latin classification ?
7795,What animal was first classified as canis familiaris in 1983?,what year was canis familiaris listed under canis lupus ?
7796,What animal did the author discuss above?,"what year was it decided that if wolves and dogs were one species , then their scientific name is the name of the wild variety ?"
7797,What animal did the author discuss above?,what 2005 publication in its third edition kept to that ruling ?
7798,What animal may be used as the subspecies dingo?,what latin dog term is still used because wild and domesticated dogs are recognizably different ?
7799,What animal did the author discuss above?,what official body recognizes both canis lupus and canis familiaris ?
7800,What animal may be used as the subspecies dingo?,many researchers prefer what term ?
7801,What animal did the author discuss above?,who ruled in 2003 that scientific names for wild animals share the same scientific name as their domestic counterparts ?
7802,What animal did the author discuss above?,what was this decision called ?
7803,What may be the probable reason for the common ancestor of dogs and wolves being extinct?,what indicated dogs and gray wolves developed as two monophyletic clades ?
7804,What may be the probable reason for the common ancestor of dogs and wolves being extinct?,the common relative of dogs and existing wolves is now considered what ?
7805,What may be the probable reason for the early development of dogs?,modern dogs likely began when human beings were considered to be what ?
7806,What animal may be the domestic dog related to?,"due to admixture , what species are many arctic dogs related to ?"
7807,What may be the probable reason for the early development of dogs?,"rather than with agriculturists , dogs seemingly were during the time of who ?"
7808,What animal diverged around the same time that the dog is referring to?,most breeds share a genetic likeness to what animal ?
7809,What animal may be the domestic dog related to?,some arctic breeds are more like what wolf rather than the gray wolf ?
7810,What are traits of modern dog breeds that are unique from domestic animals?,"what species shows more difference in size , looks and actions than any other ?"
7811,What kind of creature are dogs?,what are dog teeth best suited for ?
7812,What kind of creature are dogs?,dogs are considered to be predators and what else ?
7813,What kind of creature are dogs?,what bones in dog legs are fused ?
7814,What kind of creature are dogs?,a dog 's heart and vascular ability if best suited for sprinting and what else ?
